"HOSP_CITY","THCIC_ID","HOSP_NAME","HOSP_REPORTS_WITH_THCIC_ID"
"ABILENE","973590","CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER",NA
"ABILENE","920000","ENCOMPASS HEALTH REHAB HOSPITAL ABILENE",NA
"ABILENE","500000","HENDRICK MEDICAL CENTER",NA
"ABILENE","975869","HENDRICK MEDICAL CENTER SOUTH",NA
"ABILENE","973240","OCEANS BEHAVIORAL HOSPITAL ABILENE",NA
"ADDISON","750000","METHODIST HOSPITAL FOR SURGERY",NA
"ALICE","689401","CHRISTUS SPOHN HOSPITAL ALICE",NA
"ALLEN","976006","CARDIOVASCULAR CENTER OF TEXAS",NA
"ALLEN","973130","PAM SPECIALTY HOSPITAL OF ALLEN",NA
"ALLEN","724200","TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN",NA
"ALPINE","711900","BIG BEND REGIONAL MEDICAL CENTER",NA
"AMARILLO","001000","BSA HOSPITAL",NA
"AMARILLO","318001","BEHAVIORAL HEALTH SERVICES AT NWTHS","318000"
"AMARILLO","976221","EXCEPTIONAL AMARILLO N COULTER",NA
"AMARILLO","976048","EXCEPTIONAL COMMUNITY HOSPITAL AMARILLO",NA
"AMARILLO","976111","KPC PROMISE HOSPITAL OF AMARILLO",NA
"AMARILLO","318000","NORTHWEST TEXAS HOSPITAL",NA
"AMARILLO","714000","NORTHWEST TEXAS SURGERY CENTER",NA
"AMARILLO","975910","OCEANS BEHAVIORAL HOSPITAL OF AMARILLO",NA
"AMARILLO","852901","PHYSICIANS SURGICAL HOSPITALS - 9TH STREET",NA
"AMARILLO","852900","PHYSICIANS SURGICAL HOSPITALS - PLUM CREEK",NA
"AMARILLO","973340","VIBRA HOSPITAL OF AMARILLO",NA
"AMARILLO","973350","VIBRA REHABILITATION HOSPITAL AMARILLO",NA
"ANAHUAC","442000","OMNIPOINT HEALTH HOSPITAL",NA
"ANDREWS","187000","PERMIAN REGIONAL MEDICAL CENTER",NA
"ANGLETON","126000","UTMB ANGLETON DANBURY MEDICAL CENTER",NA
"ANNA","975864","SURGERY CENTER OF NORTH TEXAS",NA
"ANSON","016000","ANSON GENERAL HOSPITAL",NA
"ARGYLE","976274","MEDICAL CITY ARGYLE CAMPUS OF MEDICAL CITY",NA
"DENTON","975322","WISE HEALTH SURGICAL HOSPITAL-CRAWFORD",NA
"ARLINGTON","936000","BAYLOR SCOTT & WHITE ORTHOPEDIC AND SPINE",NA
"ARLINGTON","660000","ENCOMPASS HEALTH REHAB HOSPITAL ARLINGTON",NA
"ARLINGTON","690000","KINDRED HOSPITAL-TARRANT COUNTY",NA
"ARLINGTON","502000","MEDICAL CITY ARLINGTON",NA
"ARLINGTON","765001","MILLWOOD HOSPITAL",NA
