Incorporated City or Town,2020 Decennial Census Population,MGRT Tax Rate
Abbott city,352,0.00%
Abernathy city,"2,865",1.07%
Abilene city,"125,182",2.00%
Ackerly city,264,0.00%
Addison town,"16,661",2.00%
Adrian city,128,0.00%
Agua Dulce city,685,0.00%
Alamo city,"19,493",2.00%
Alamo Heights city,"7,357",1.07%
Alba town,473,0.00%
Albany city,"1,854",0.58%
Aledo city,"4,858",1.07%
Alice city,"17,891",2.00%
Allen city,"104,627",2.00%
Alma town,373,0.00%
Alpine city,"6,035",1.07%
Alto town,"1,027",0.58%
Alton city,"18,198",2.00%
Alvarado city,"4,739",1.07%
Alvin city,"27,098",2.00%
Alvord town,"1,351",0.58%
Amarillo city,"200,393",2.00%
Ames city,937,0.00%
Amherst city,678,0.00%
Anahuac city,"1,980",0.58%
Anderson city,193,0.00%
Andrews city,"13,487",2.00%
Angleton city,"19,429",2.00%
Angus city,444,0.00%
Anna city,"16,896",2.00%
Annetta North town,554,0.00%
Annetta South town,621,0.00%
Annetta town,"3,041",1.07%
Annona town,184,0.00%
Anson city,"2,294",0.58%
Anthony town,"3,671",1.07%
Anton city,907,0.00%
Appleby city,552,0.00%
Aquilla city,101,0.00%
Aransas Pass city,"7,941",1.07%
Archer City city,"1,601",0.58%
Arcola city,"2,034",0.58%
Argyle city,"4,403",1.07%
Arlington city,"394,266",2.00%
Arp city,892,0.00%
Asherton city,722,0.00%
Aspermont town,789,0.00%
Athens city,"12,857",2.00%
Atlanta city,"5,433",1.07%
Aubrey city,"5,006",1.07%
Aurora city,"1,390",0.58%
Austin city,"961,855",2.00%
Austwell city,118,0.00%
Avery town,421,0.00%
Avinger town,371,0.00%
Azle city,"13,369",2.00%
Bailey city,220,0.00%
Bailey's Prairie village,775,0.00%
Baird city,"1,479",0.58%
Balch Springs city,"27,685",2.00%
Balcones Heights city,"2,746",1.07%
Ballinger city,"3,619",1.07%
Balmorhea city,408,0.00%
Bandera city,829,0.00%
Bangs city,"1,540",0.58%
Bardwell city,625,0.00%
Barry city,220,0.00%
Barstow city,265,0.00%
Bartlett city,"1,633",0.58%
Bartonville town,"1,725",0.58%
Bastrop city,"9,688",1.07%
Bay City city,"18,061",2.00%
Bayou Vista city,"1,763",0.58%
Bayside town,275,0.00%
Baytown city,"83,701",2.00%
Bayview town,475,0.00%
Beach City city,"3,221",1.07%
Bear Creek village,397,0.00%
Beasley city,608,0.00%
Beaumont city,"115,282",2.00%
Beckville city,722,0.00%
Bedford city,"49,928",2.00%
Bedias city,361,0.00%
Bee Cave city,"9,144",1.07%
Beeville city,"13,669",2.00%
Bellaire city,"17,202",2.00%
Bellevue city,289,0.00%
Bellmead city,"10,494",2.00%
Bells town,"1,521",0.58%
Bellville city,"4,206",1.07%
Belton city,"23,054",2.00%
Benavides city,"1,183",0.58%
Benbrook city,"24,520",2.00%
Benjamin city,196,0.00%
Berryville town,824,0.00%
Bertram city,"1,616",0.58%
Beverly Hills city,"1,878",0.58%
Bevil Oaks city,"1,089",0.58%
Big Lake city,"2,965",1.07%
Big Sandy town,"1,231",0.58%
Big Spring city,"26,144",2.00%
Big Wells city,483,0.00%
Bishop city,"3,174",1.07%
Bishop Hills town,211,0.00%
Blackwell city,258,0.00%
Blanco city,"1,682",0.58%
Blanket town,369,0.00%
Bloomburg town,321,0.00%
Blooming Grove town,857,0.00%
Blossom city,"1,402",0.58%
Blue Mound city,"2,393",0.58%
Blue Ridge city,"1,180",0.58%
Blum town,383,0.00%
Boerne city,"17,850",2.00%
Bogata city,"1,074",0.58%
Bonham city,"10,408",2.00%
Bonney village,180,0.00%
Booker town,"1,437",0.58%
Borger city,"12,551",2.00%
Bovina city,"1,699",0.58%
Bowie city,"5,448",1.07%
Boyd town,"1,416",0.58%
Brackettville city,"1,341",0.58%
Brady city,"5,118",1.07%
Brazoria city,"2,866",1.07%
